Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
11,Austin, Texas,"964,254","790,390",+22.00%,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",297.9 sq mi (771.5 km2),7.2 sq mi (18.6 km2),UTC−6 (CST),Steve Adler,"Austin's airport is Austin–Bergstrom International Airport (ABIA) (IATA code AUS), located 5 miles (8km) southeast of the city. The airport is on the site of the former Bergstrom Air Force Base, which was closed in 1993 as part of the Base Realignment and Closure process. Previously, Robert Mueller Municipal Airport was the commercial airport of Austin. Austin Executive Airport serves the general aviation coming into the city, as well as other smaller airports outside of the city center.
",http://www.austintexas.gov,"Austin is located within the middle of a unique, narrow transitional zone between the dry deserts of the American Southwest and the lush, green, more humid regions of the American Southeast. Its climate, topography, and vegetation share characteristics of both. Officially, Austin has a humid subtropical climate under the Köppen climate classification. This climate is typified by very long and hot summers; short, mild winters; and pleasantly warm spring and fall seasons in-between. Austin averages 34.32 inches (872mm) of annual rainfall and it is distributed mostly evenly throughout the year, though spring and fall are the wettest seasons. Sunshine is common during all seasons, with 2,650 hours, or 60.3% of the possible total, of bright sunshine per year.[76] Austin falls in USDA hardiness zones 8b (15°F to 20°F) and 9a (20°F to 25°F).[77]
","/wiki/Austin,_Texas"
12,Jacksonville, Florida,"903,889","821,784",+9.99%,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,"747.45 sq mi (1,935.87 km2)",127.19 sq mi (329.42 km2),UTC−5 (Eastern (EST)),Lenny Curry,"Jacksonville is served by Jacksonville International Airport (IATA: JAX, ICAO: KJAX, FAA LID: JAX), 13 miles north of downtown, with 82 departures a day to 27 nonstop destination cities. Airports in Jacksonville are managed by the Jacksonville Aviation Authority (JAA). Smaller aircraft use Jacksonville Executive at Craig Airport (IATA: CRG, ICAO: KCRG, FAA LID: CRG) in Arlington, Herlong Recreational Airport (ICAO: KHEG, FAA LID: HEG) on the Westside, and Cecil Airport (IATA: VQQ, ICAO: KVQQ, FAA LID: VQQ), at Cecil Commerce Center. The state of Florida has designated Cecil Airport a space port, allowing horizontal lift spacecraft to use the facility.
",http://www.coj.net,"According to the Köppen climate classification, Jacksonville has a humid subtropical climate, with hot summers, and  mild and drier winters. Seasonal rainfall is concentrated in the warmest months from May through September, when brief but intense downpours with thunder and lightning are common, while the driest months are from November through April. Rainfall averages around 52 inches (1,300mm) a year.[72]
","/wiki/Jacksonville,_Florida"
13,Fort Worth, Texas,"895,008","741,206",+20.75%,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,342.2 sq mi (886.3 km2),7.0 sq mi (18.1 km2),UTC−6 (CST),Betsy Price,"Prior to the construction of DFW, the city was served by Greater Southwest International Airport, which was located just to the south of the new airport. Originally named Amon Carter Field after one of the city's influential mayors, Greater Southwest opened in 1953 and operated as the primary airport for Fort Worth until 1974. It was then abandoned until the terminal was torn down in 1980. The site of the former airport is now a mixed-use development straddled by Texas State Highway 183 and 360. One small section of runway remains north of Highway 183, and serves as the only reminder that a major commercial airport once occupied the site.
",http://www.fortworthtexas.gov/,"Fort Worth has a humid subtropical climate according to the Köppen climate classification system[43] and is within USDA hardiness zone 8a. The hottest month of the year is July, when the average high temperature is 95°F (35.0°C), and overnight low temperatures average 72°F (22.2°C), giving an average temperature of 84°F (28.9°C).[44] The coldest month of the year is January, when the average high temperature is 55°F (12.8°C) and low temperatures average 31°F (−0.6°C).[44] The average temperature in January is 43°F (6°C).[44] The highest temperature ever recorded in Fort Worth is 113°F (45.0°C), on June 26, 1980, during the Great 1980 Heat Wave,[45] and June 27, 1980.[46] The coldest temperature ever recorded in Fort Worth was −8°F (−22.2°C) on February 12, 1899.[47] Because of its position in North Texas, Fort Worth is very susceptible to supercell thunderstorms, which produce large hail and can produce tornadoes.
","/wiki/Fort_Worth,_Texas"
14,Columbus, Ohio,"892,533","787,033",+13.40%,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",217.17 sq mi (562.47 km2),5.94 sq mi (15.38 km2),UTC-5 (EST),Andrew J. Ginther,"The city's primary airport, John Glenn International Airport (CMH), is on the city's east side, with several smaller airports in the region as well. John Glenn, formerly known as Port Columbus, provides service to Toronto, Canada, and Cancun, Mexico (on a seasonal basis), as well as to most domestic destinations, including all the major hubs along with San Francisco, Salt Lake City, and Seattle by June 2019. The airport was a hub for discount carrier Skybus Airlines and continues to be a home to NetJets, the world's largest fractional ownership air carrier. According to a 2005 market survey, John Glenn Columbus International Airport attracts about 50% of its passengers from outside of its 60-mile (97km) radius primary service region.[162] It is the 52nd-busiest airport in the United States by total passenger boardings.[163] Rickenbacker International Airport, in southern Franklin County, is a major cargo facility and is utilized by the Ohio Air National Guard. Allegiant Air offers nonstop service from Rickenbacker to various Florida destinations. Ohio State University Don Scott Airport and Bolton Field are significant general-aviation facilities in the Columbus area.
",http://www.columbus.gov/,"The city's climate is humid continental (Köppen climate classification Dfa) transitional with the humid subtropical climate to the south characterized by warm, muggy summers and cold, dry winters. Columbus is within USDA hardiness zone 6a. Winter snowfall is relatively light, since the city is not in the typical path of strong winter lows, such as the Nor'easters that strike cities farther east. It is also too far south and west for lake-effect snow from Lake Erie to have much effect, although the lakes to the North contribute to long stretches of cloudy spells in winter.
","/wiki/Columbus,_Ohio"
15,San Francisco, California,"883,305","805,235",+9.70%,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",46.89 sq mi (121.46 km2),185.00 sq mi (479.14 km2)  80.00%,UTC−8 (Pacific Time Zone),London Breed,"Though located 13 miles (21km) south of downtown in unincorporated San Mateo County, San Francisco International Airport (SFO) is under the jurisdiction of the City and County of San Francisco. SFO is a hub for United Airlines[309] and Alaska Airlines.[310] SFO is a major international gateway to Asia and Europe, with the largest international terminal in North America.[311] In 2011, SFO was the eighth-busiest airport in the U.S. and the 22nd-busiest in the world, handling over 40.9million passengers.[312]
",http://sf.gov/,"San Francisco has a warm-summer Mediterranean climate (Köppen Csb) characteristic of California's coast, with moist mild winters and dry summers.[93] San Francisco's weather is strongly influenced by the cool currents of the Pacific Ocean on the west side of the city, and the water of San Francisco Bay to the north and east. This moderates temperature swings and produces a remarkably mild year-round climate with little seasonal temperature variation.
",/wiki/San_Francisco
16,Charlotte, North Carolina,"872,498","731,424",+19.29%,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",,,UTC−5 (EST),Vi Lyles,"Charlotte Douglas International Airport is the sixth busiest airport in both the U.S. and the world overall as measured by traffic (aircraft movements).[105] It is served by many domestic and international airlines including Air Canada, Volaris, and Lufthansa. It is a major hub for American Airlines, having historically been a hub for its predecessors US Airways and Piedmont Airlines. Nonstop flights are available to many destinations across the United States, Canada, Central America, the Caribbean, Europe, Mexico, and South America.
",http://charlottenc.gov,,"/wiki/Charlotte,_North_Carolina"
17,Indianapolis, Indiana,"867,125","820,445",+5.69%,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,361.51 sq mi (936.30 km2),6.52 sq mi (16.88 km2),UTC−5 (EST),Joe Hogsett,"Indianapolis International Airport (IND) sits on 7,700 acres (3,116ha) approximately 7 miles (11km) southwest of downtown Indianapolis. IND is the busiest airport in the state, serving more than 9.4 million passengers annually.[322] Completed in 2008, the Col. H. Weir Cook Terminal contains two concourses and 40 gates, connecting to 51 nonstop domestic and international destinations and averaging 145 daily departures.[323] As home to the second largest FedEx Express hub in the world, IND ranked as the seventh busiest U.S. airport in terms of air cargo throughput in 2015.[156][324]
",http://www.indy.gov,"Indianapolis has a humid continental climate (Köppen climate classification Dfa), but can be considered a borderline humid subtropical climate (Köppen: Cfa) using the −3°C (27°F) isotherm. It experiences four distinct seasons.[106] The city is in USDA hardiness zone 6a.[107]
",/wiki/Indianapolis
18,Seattle, Washington,"744,955","608,660",+22.39%,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",83.86 sq mi (217.19 km2),58.21 sq mi (150.77 km2),UTC−8 (PST),Jenny Durkan,,http://www.seattle.gov/,"Seattle has a warm-temperate climate, officially in the mediterranean zone by the main climatic classification (Köppen: Csb)[91][92] but other sources due to winter temperatures consider a oceanic climate (Cfb), without meeting Köppen-Geiger criteria.[93][94][95]  It has cool, wet winters and mild, relatively dry summers, covering characteristics of both.[96][97] The climate is sometimes characterized as a ""modified Mediterranean"" climate because it is cooler and wetter than a ""true"" Mediterranean climate, but shares the characteristic dry summer (which has a strong influence on the region's vegetation).[98] The city and environs are part of USDA hardiness zone 8b, with isolated coastal pockets falling under 9a.[99]
",/wiki/Seattle
19,Denver, Colorado,"716,492","600,158",+19.38%,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",153.33 sq mi (397.13 km2),1.63 sq mi (4.23 km2)  1.1%,UTC−7 (MST),Michael Hancock,"Denver International Airport (IATA: DEN, ICAO: KDEN), commonly known as DIA, serves as the primary airport for a large region surrounding Denver. DIA is 18.6 miles (30km) east-northeast of the Colorado State Capitol. DIA is the 20th busiest airport in the world and ranks 5th in the United States, with 64,494,613 passengers passing through it in 2018.[170] It covers more than 53 square miles (137.3km2), making it the largest airport by land area in the United States and larger than the island of Manhattan.[171][172] Denver serves as a major hub for United Airlines, is the headquarters for Frontier Airlines, and is the fastest-growing focus city for Southwest Airlines.
",http://www.denvergov.org/,"Denver lies within the semi-arid, continental climate zone (Köppen climate classification: BSk).[58] Despite having a partially dry climate, data from the University of Melbourne show that Denver is influenced by other climates that are possibly a consequence of the adjacent elevation that changes precipitation and temperature. Humid continental and subtropical microclimates can be found.[59][60] It has four distinct seasons and receives most of its precipitation from April through August. Due to its inland location on the High Plains, at the foot of the Rocky Mountains, the region can be subject to sudden changes in weather.[61]
",/wiki/Denver
20,"Washington, D.C.", District of Columbia,"702,455","601,723",+16.74%,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2",61.05 sq mi (158.1 km2),7.29 sq mi (18.9 km2),UTC−5 (EST),Muriel Bowser,,http://dc.gov/,"Washington is in the northern part of the humid subtropical climate zone (Köppen: Cfa).[66] The Trewartha classification is defined as an oceanic climate (Do).[67] Winters are usually chilly with light snow, and summers are hot and humid. The District is in plant hardiness zone 8a near downtown, and zone 7b elsewhere in the city, indicating a humid subtropical climate.[68]
","/wiki/Washington,_D.C."
21,Boston, Massachusetts,"694,583","617,594",+12.47%,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",48.42 sq mi (125.41 km2),41.21 sq mi (106.73 km2),UTC−5 (EST),Marty Walsh,,http://www.bizjournals.com/boston/blog/bbj_research_alert/2012/11/bostons-population-stays-flat-but.html,"Under the Köppen climate classification, depending on the isotherm used, Boston has either a humid subtropical climate (Köppen Cfa) under the -3 C isotherm or a humid continental climate under the 0 C isotherm (Köppen Dfa).[95] The city is best described as being in a transitional zone between the two climates. Summers are typically warm and humid, while winters are cold and stormy, with occasional periods of heavy snow. Spring and fall are usually cool to mild, with varying conditions dependent on wind direction and jet stream positioning. Prevailing wind patterns that blow offshore minimize the influence of the Atlantic Ocean. However, in winter areas near the immediate coast will often see more rain than snow as warm air is drawn off the Atlantic at times.[96] The city lies at the transition between USDA plant hardiness zones 6b (most of the city) and 7a (Downtown, South Boston, and East Boston neighborhoods).[97]
",/wiki/Boston
22,El Paso, Texas,"682,669","649,121",+5.17%,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",255.3 sq mi (661.1 km2),1.0 sq mi (2.6 km2),UTC−7 (MST),Dee Margo,"The Sun Metro Mass Transit System operates a system of medium- to large-capacity natural gas-powered buses all around the city of El Paso.[195]
",http://www.elpasotexas.gov,"El Paso has a transitional climate between cold desert climate (Köppen BWk) and hot desert climate (Köppen BWh) featuring hot summers, with little humidity, and cool to mild dry winters. Rainfall averages 9.7in (250mm) per year, much of which occurs during the summer from July through September, and is predominantly caused by the North American Monsoon. During this period, southerly and southeasterly winds carry moisture from the Pacific, the Gulf of California, and the Gulf of Mexico into the region. When this moisture moves into the El Paso area and places to the southwest, orographic lift from the mountains, combined with strong daytime heating, causes thunderstorms, some severe enough to produce flash flooding and hail, across the region.
","/wiki/El_Paso,_Texas"
23,Detroit, Michigan,"672,662","713,777",−5.76%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",138.72 sq mi (359.27 km2),4.17 sq mi (10.81 km2),UTC−5 (EST),Mike Duggan,"Detroit Metropolitan Wayne County Airport (DTW), the principal airport serving Detroit, is located in nearby Romulus. DTW is a primary hub for Delta Air Lines (following its acquisition of Northwest Airlines), and a secondary hub for Spirit Airlines. The airport is connected to Downtown Detroit by the Suburban Mobility Authority for Regional Transportation (SMART) FAST Michigan route.[281]
",http://www.detroitmi.gov/,"Detroit and the rest of southeastern Michigan have a humid continental climate (Köppen Dfa) which is influenced by the Great Lakes; the city and close-in suburbs are part of USDA Hardiness zone 6b, with farther-out northern and western suburbs generally falling in zone 6a.[97] Winters are cold, with moderate snowfall and temperatures not rising above freezing on an average 44days annually, while dropping to or below 0°F (−18°C) on an average 4.4days a year; summers are warm to hot with temperatures exceeding 90°F (32°C) on 12days.[98] The warm season runs from May to September. The monthly daily mean temperature ranges from 25.6°F (−3.6°C) in January to 73.6°F (23.1°C) in July. Official temperature extremes range from 105°F (41°C) on July 24, 1934 down to −21°F (−29°C) on January 21, 1984; the record low maximum is −4°F (−20°C) on January 19, 1994, while, conversely the record high minimum is 80°F (27°C) on August 1, 2006, the most recent of five occurrences.[98] A decade or two may pass between readings of 100°F (38°C) or higher, which last occurred July 17, 2012. The average window for freezing temperatures is October 20 thru April 22, allowing a growing season of 180 days.[98]
",/wiki/Detroit
24,Nashville, Tennessee,"669,053","601,222",+11.28%,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,"504.03 sq mi (1,305.4 km2)",21.91 sq mi (56.7 km2),UTC−6 (CST),David Briley,"The city is served by Nashville International Airport (BNA), and is a focus city for Southwest Airlines and was a hub for American Airlines between 1986 and 1995. 16 million passengers visited the airport in 2018,[186] and as of year end 2017, Nashville International Airport was the 33rd busiest airport and the 5th fastest growing airport among the top 50 airports in the United States.[187] BNA serves 460 daily flights to more than 65 nonstop markets.[188]
",http://www.nashville.gov/,"Nashville has a humid subtropical climate (Köppen Cfa),[58] with warm, humid summers and generally cool to mild winters typical of the Upper South.[59][60][61] Monthly averages range from 37.7°F (3.2°C) in January to 79.4°F (26.3°C) in July, with a diurnal temperature variation of 18.2 to 23.0°F (10.1 to 12.8°C).
","/wiki/Nashville,_Tennessee"
25,Portland, Oregon,"653,115","583,776",+11.88%,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",133 sq mi (346 km2),12 sq mi (30 km2),UTC−08:00 (PST),Ted Wheeler,,http://www.PortlandOregon.gov/,"Portland has a temperate oceanic climate with cool and cloudy winters, and warm and dry summers. [78] This climate is characterized by having overcast, wet, and changing weather conditions in fall, winter, and spring, as Portland lies in the direct path of the stormy westerly flow, and mild and dry summers when the Pacific High reaches in northernmost point in mid summer.[79] Of the three most populated cities within the Pacific Northwest (Seattle, Vancouver, British Columbia and Portland) Portland has the warmest average temperature, the highest number of sunshine hours, and the fewest inches of rainfall and snowfall, although the city still is frequently overcast compared to other US cities at the same latitude.[80] According to the Köppen climate classification, Portland falls within the dry-summer temperate zone (Csb).[79][81] with a USDA Plant Hardiness Zones between 8b and 9a.[82] Other climate systems, such as the Trewartha climate classification, places it within the oceanic zone (Do), like much of the Pacific Northwest and Western Europe.[83]
","/wiki/Portland,_Oregon"
